Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
HDFC Bank,500180,HDFCBANK,INE040A01034,Banks,Private Sector Bank,720.30,1110063.04,7.02,13.64,6.21,42.69,26.86,18.06,14.05,293893.13,16333.29,4692685.18,0.00,0.00,-25.52
HDFC Life Insur.,540777,HDFCLIFE,INE795G01014,Insurance,Life Insurance,548.00,119057.88,10.30,11.28,0.16,1.16,12.30,11.81,60.28,2130.50,775.69,121382.52,50.54,0.00,0.21
Helpage Finlease,539174,,INE738P01015,Finance,Non Banking Financial Company (NBFC),21.73,21.62,12.69,16.61,5.38,90.85,66.35,68.92,7.21,11.71,0.65,121.52,37.84,0.00,1.44
Hexa Tradex,534328,HEXATRADEX,INE750M01017,Finance,Investment Company,160.09,884.50,-0.12,-0.19,0.00,-108.08,72.07,18.39,,-4.07,0.02,893.07,92.13,0.00,0.00
Hi-Klass Trading,542332,,INE302R01024,Finance,Other Financial Services,90.90,274.68,-1.46,-4.69,0.01,66.73,161.14,,37.83,9.94,0.04,275.01,28.60,23.14,0.00
Hiliks Technolog,539697,,INE966Q01010,Finance,Investment Company,63.25,67.99,5.39,3.57,0.00,6.58,98.73,118.98,39.76,2.08,0.27,67.24,4.65,0.00,-5.19
Home First Finan,543259,HOMEFIRST,INE481N01025,Finance,Housing Finance Company,1198.30,12529.36,11.13,15.71,2.43,78.58,34.16,33.27,21.55,1559.38,55.64,22278.39,6.98,0.00,-23.23
Hybrid Financial,500262,HYBRIDFIN,INE965B01022,Capital Markets,Stockbroking & Allied,17.35,51.07,6.34,6.48,0.02,30.16,17.67,49.38,18.91,2.71,1.63,30.55,64.01,0.00,-0.01
I O B,532388,IOB,INE565A01014,Banks,Public Sector Bank,32.81,63180.87,6.07,14.86,10.74,60.29,18.03,35.39,10.98,26385.89,5014.71,474598.48,92.44,0.00,-3.94
I R F C,543257,IRFC,INE053F01010,Finance,Financial Institution,83.90,109644.77,5.64,12.81,7.69,98.91,4.53,3.42,15.25,28492.60,18.33,545138.11,82.90,0.00,-3.46
IBL Finance,,IBLFL,INE0O7401018,Finance,Non Banking Financial Company (NBFC),61.00,150.86,8.46,4.07,0.95,57.54,9.10,5.98,61.83,9.38,1.61,205.03,63.20,0.00,
ICICI AMC,544658,ICICIAMC,INE346A01027,Capital Markets,Asset Management Company,3139.60,155177.40,115.10,85.80,0.00,74.31,28.35,29.58,44.52,4651.73,634.17,155029.91,87.59,0.00,
ICICI Bank,532174,ICICIBANK,INE090A01021,Banks,Private Sector Bank,1422.80,1021090.33,7.18,15.92,5.55,24.71,17.26,16.58,18.20,167872.22,17329.29,3043761.71,0.00,0.00,0.00
ICICI Lombard,540716,ICICIGI,INE765G01017,Insurance,General Insurance,1562.00,78037.30,21.88,16.58,0.00,11.22,14.73,14.20,32.14,3200.92,852.23,77261.04,51.22,0.00,3.21
ICICI Pru Life,540133,ICICIPRULI,INE726G01019,Insurance,Life Insurance,506.00,73411.52,10.14,12.58,0.19,2.06,7.87,25.50,45.66,1558.90,1377.61,74868.82,72.73,0.00,-0.60
Iconik Sports,511260,,INE088P01015,Finance,Other Financial Services,35.03,118.55,10.46,8.13,0.00,13.49,521.04,316.66,24.75,6.29,0.01,117.35,8.68,0.00,-63.81
ICRA,532835,ICRA,INE725G01011,Capital Markets,Ratings,4912.80,4741.46,23.04,16.72,0.02,36.09,14.13,11.37,24.15,273.96,312.81,4717.38,51.86,0.00,0.00
IDBI Bank,500116,IDBI,INE008A01015,Banks,Private Sector Bank,92.66,99631.76,5.92,14.14,5.47,72.38,12.12,35.41,10.69,27606.59,9684.99,441281.18,94.72,0.00,0.00
IDFC First Bank,539437,IDFCFIRSTB,INE092T01019,Banks,Private Sector Bank,83.12,71663.65,5.98,3.83,7.31,34.34,21.29,-12.45,31.87,22364.43,2544.74,413551.10,0.00,0.00,-39.93
IFCI,500106,IFCI,INE039A01010,Finance,Financial Institution,89.96,24238.05,5.03,2.09,0.39,48.64,6.78,42.09,135.14,942.06,1486.03,20658.92,72.57,0.00,2.25
IIFL Capital,542773,IIFLCAPS,INE489L01022,Capital Markets,Stockbroking & Allied,333.20,10501.76,21.07,16.20,0.59,35.04,22.61,22.08,18.42,997.28,295.30,7257.26,30.67,0.00,-0.46
IIFL Finance,532636,IIFL,INE530B01024,Finance,Non Banking Financial Company (NBFC),659.25,28043.25,10.87,12.61,4.97,65.09,16.54,3.46,13.34,9128.96,1513.65,90845.63,24.84,0.00,0.00
IL&FS Inv.Manag.,511208,IVC,INE050B01023,Capital Markets,Asset Management Company,8.49,266.61,4.11,1.95,0.00,-2.23,-4.96,-31.38,65.51,8.88,0.30,181.58,50.42,0.00,0.00
Inani Securities,531672,,INE224C01014,Finance,Other Financial Services,33.00,15.04,1.44,0.41,0.05,-14.55,-8.72,28.45,300.80,0.31,7.01,6.61,56.91,0.00,-0.37
Ind Bank Housing,523465,,INE969D01012,Finance,Housing Finance Company,50.15,50.15,-1.11,,,,,22.52,12.86,2.58,0.00,164.46,51.00,0.00,0.00
Indbank Merchant,511473,INDBANK,INE841B01017,Capital Markets,Stockbroking & Allied,31.45,139.58,10.34,7.36,0.00,40.68,11.24,32.11,19.23,10.07,3.05,52.86,64.84,0.00,0.00
Indergiri Fin.,531505,,INE628F01019,Finance,Non Banking Financial Company (NBFC),24.53,12.41,-1.15,-66.67,14.91,-91.67,41.12,,,-0.63,0.00,21.89,60.56,0.00,0.35
India Cem. Cap.,511355,,INE429D01017,Finance,Non Banking Financial Company (NBFC),26.14,56.75,-0.20,-0.77,0.00,-16.12,3.68,,,-0.37,0.49,45.56,50.02,0.00,-24.88
India Finsec,535667,,INE474O01010,Finance,Non Banking Financial Company (NBFC),228.00,665.57,28.63,15.98,0.00,76.88,23.02,71.30,40.56,71.56,0.02,664.73,55.98,84.16,0.47
India Home Loans,530979,,INE274E01015,Finance,Housing Finance Company,31.49,44.97,9.41,2.08,1.05,53.70,-13.11,12.13,321.21,6.74,0.38,88.18,27.06,0.00,-9.32
India Lease Dev.,500202,,INE333C01013,Finance,Non Banking Financial Company (NBFC),7.91,11.63,0.20,0.20,0.00,1.54,2.84,31.04,290.75,0.04,0.00,6.52,71.66,0.00,1.20
INDIA SHELTE FIN,544044,INDIASHLTR,INE922K01024,Finance,Housing Finance Company,649.85,7081.20,12.86,17.11,1.95,72.26,37.86,48.25,13.39,1144.68,29.18,13022.33,46.05,0.00,
