Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Return on capital employed,Return on equity,Debt to equity,OPM,Sales growth 3Years,Profit growth 3Years,Price to Earning,EBIT,Net block,Enterprise Value,Promoter holding,Pledged percentage,Change in promoter holding 3Years
Ladderup Finance,530577,LADDERUP,INE519D01015,Finance,Non Banking Financial Company (NBFC),50.90,53.97,9.01,4.91,0.35,33.68,30.17,69.29,9.50,12.34,6.33,73.38,68.91,0.00,12.06
Lak. Fin. & Indl,,LFIC,INE850E01012,Finance,Investment Company,137.60,41.28,-2.10,-1.22,0.00,11.21,24.75,,30.13,1.20,0.72,37.39,47.00,0.00,0.00
Landmarc Leisur.,532275,,INE394C01023,Finance,Non Banking Financial Company (NBFC),2.08,203.84,-1.55,-1.87,0.07,-228.12,-59.71,21.94,,-0.42,0.04,204.74,61.22,0.00,-13.77
Last Mile Enter.,526961,,INE404B01022,Finance,Non Banking Financial Company (NBFC),5.30,188.56,5.48,3.11,0.07,0.53,272.89,54.55,21.23,17.81,31.55,212.88,25.32,0.00,-36.27
Laxmi India Fin.,544465,LAXMIINDIA,INE06WU01026,Finance,Non Banking Financial Company (NBFC),126.29,661.67,12.72,13.76,2.87,63.82,34.77,46.15,11.70,217.67,17.17,1863.70,60.17,0.00,
Lead Financial S,531288,,INE531D01010,Finance,Non Banking Financial Company (NBFC),17.27,5.70,3.10,1.63,0.00,31.48,21.92,-10.61,81.43,0.17,2.11,5.62,28.22,0.00,0.00
Leading Lea. Fin,540360,,INE715Q01029,Finance,Non Banking Financial Company (NBFC),1.01,56.92,6.63,4.32,0.56,-11.69,240.20,104.49,,30.41,0.11,472.25,0.00,0.00,0.00
Lexora Global,512345,,INE745A01012,Finance,Other Financial Services,165.50,165.50,6.21,2.39,0.59,2.01,,,591.07,0.73,0.06,167.95,70.55,0.00,-0.97
Libord Finance,511593,,INE212B01011,Finance,Non Banking Financial Company (NBFC),15.69,24.63,3.94,3.75,0.00,-17.89,8.18,100.00,175.93,0.22,0.00,24.59,74.82,0.00,0.01
Libord Securitie,531027,,INE267E01019,Finance,Other Financial Services,21.33,10.67,-1.37,-1.65,0.00,,,,,-0.25,0.00,10.66,74.97,0.00,0.00
LIC Housing Fin.,500253,LICHSGFIN,INE115A01026,Finance,Housing Finance Company,535.00,29428.37,8.59,14.41,6.70,94.82,8.28,24.69,5.13,26968.79,416.41,305618.92,45.24,0.00,0.00
Life Insurance,543526,LICI,INE0J1Y01017,Insurance,Life Insurance,422.00,533829.81,35.14,37.82,,4.74,7.61,16.94,8.89,53425.06,0.00,533829.81,96.50,0.00,0.00
LKP Securities,540192,LKPSEC,INE341H01023,Capital Markets,Stockbroking & Allied,15.44,127.75,13.53,10.50,0.74,22.14,11.05,39.92,17.45,18.88,23.94,64.29,72.07,0.00,1.37
Longspur Intl,504340,,INE180M01033,Finance,Other Financial Services,8.45,26.11,2.26,1.78,0.33,25.53,-34.31,96.36,52.22,0.72,0.67,36.09,23.39,0.00,10.31
Lyons Corporate,531441,,INE100F01019,Finance,Non Banking Financial Company (NBFC),21.30,9.96,5.85,2.78,0.76,58.88,12.28,71.00,34.34,1.14,0.15,18.47,52.11,0.00,-0.06
M & M Fin. Serv.,532720,M&MFIN,INE774D01024,Finance,Non Banking Financial Company (NBFC),376.60,52346.31,8.72,12.26,4.82,63.43,17.93,11.83,15.62,13523.12,1328.31,173148.63,52.49,0.00,0.33
Mah. Scooters,500266,MAHSCOOTER,INE288A01013,Finance,Investment Company,13696.00,15652.57,1.06,1.06,0.00,98.61,12.95,16.73,56.20,285.36,0.00,15644.99,51.00,0.00,0.00
Maha Rashtra Apx,523384,MAHAPEXLTD,INE843B01013,Finance,Other Financial Services,54.20,152.76,-1.51,-1.69,0.00,-1629.30,-20.81,22.09,,-26.94,3.64,150.08,71.57,0.00,9.03
Manappuram Fin.,531213,MANAPPURAM,INE522D01027,Finance,Non Banking Financial Company (NBFC),348.90,32773.44,8.25,6.97,3.60,62.68,12.38,-12.76,22.61,6154.78,1057.25,84461.19,41.66,0.00,6.46
Manba Finance,544262,MANBA,INE939X01013,Finance,Non Banking Financial Company (NBFC),130.81,657.18,12.49,11.65,3.80,65.97,35.03,43.94,13.45,228.49,15.32,1945.68,74.98,0.00,
Mangal Credit,505850,MANCREDIT,INE545L01039,Finance,Non Banking Financial Company (NBFC),247.65,522.89,12.48,9.77,1.92,78.86,48.70,24.62,29.08,59.40,17.57,802.27,55.25,0.00,-0.18
Mangalam Industr,537800,,INE717C01025,Finance,Non Banking Financial Company (NBFC),0.61,86.93,-1.93,-1.93,0.00,-495.59,47.64,21.65,,0.26,0.09,86.71,37.37,12.66,-36.29
Manipal Fin. Cor,507938,,INE798E01013,Finance,Non Banking Financial Company (NBFC),16.01,13.42,,,,-15.79,85.02,10.72,,-0.01,0.74,17.09,34.29,0.00,-0.01
Manraj Hsg.Fin.,530537,,INE948I01015,Finance,Housing Finance Company,34.00,17.00,-2.49,,,,,,,-0.17,0.00,37.08,62.83,0.00,0.00
Mansi Fin.(Chen),511758,,INE094E01017,Finance,Non Banking Financial Company (NBFC),60.01,21.18,10.70,8.34,0.47,70.17,15.70,20.26,6.02,6.56,9.33,37.59,70.68,0.00,1.43
Mantra Capital,511577,,INE304E01010,Finance,Non Banking Financial Company (NBFC),16.99,60.97,-9.31,-40.05,3.34,-30.41,429.39,,,-6.25,1.40,147.94,67.08,0.00,9.93
Marg Techno-Proj,540254,,INE245H01018,Finance,Non Banking Financial Company (NBFC),11.22,87.63,8.80,4.19,0.78,69.27,10.42,26.42,45.40,5.54,0.71,113.26,29.28,0.00,-43.49
Margo Finance,500206,,INE680B01019,Finance,Non Banking Financial Company (NBFC),65.23,29.81,1.28,0.86,0.00,82.11,49.21,57.10,24.43,1.79,0.22,29.25,53.41,0.00,0.01
Market Creators,526891,,INE944C01017,Finance,Other Financial Services,15.22,15.98,5.58,-1.50,0.56,-5.12,-7.07,,,0.61,0.93,19.08,70.07,0.00,-1.25
Maruti Global Industries,531319,,INE368C01019,Finance,Non Banking Financial Company (NBFC),37.64,18.82,69.57,,,3.32,,46.20,17.59,1.20,0.26,41.49,59.85,0.00,-14.42
MAS FINANC SER,540749,MASFIN,INE348L01012,Finance,Non Banking Financial Company (NBFC),294.40,5341.99,11.30,13.42,3.47,70.25,26.41,22.63,13.44,1467.31,74.45,14655.60,66.66,0.00,-7.06
MASK INVESTMENTS,,MASKINVEST,INE885F01015,Finance,Investment Company,145.00,44.25,0.10,0.08,0.01,34.38,1.06,0.00,491.67,0.11,0.00,44.63,72.25,0.00,0.00
Master Trust,511768,MASTERTR,INE677D01037,Capital Markets,Stockbroking & Allied,82.68,1017.10,23.85,17.33,0.28,41.45,19.30,24.15,7.61,241.99,19.84,-579.53,71.93,16.95,-2.90
Mathew Easow Res,511688,,INE963B01019,Finance,Non Banking Financial Company (NBFC),13.88,9.23,4.24,0.56,1.53,60.48,7.13,25.99,115.38,1.77,0.07,31.04,31.28,0.00,0.00
Max Financial,500271,MFSL,INE180A01020,Insurance,Life Insurance,1564.40,53989.75,2.87,1.52,0.35,0.52,14.92,-40.40,497.58,283.92,607.22,53711.25,1.25,26.92,-8.89
Max India Ltd,543223,MAXIND,INE0CG601016,Finance,Holding Company,150.40,847.06,-23.03,-32.84,0.24,-54.34,-0.04,,,-115.78,194.51,866.20,48.33,0.00,-2.78
Medi Assist Ser.,544088,MEDIASSIST,INE456Z01021,Insurance,Insurance Distributors,333.80,2493.55,14.09,13.92,0.06,19.00,21.46,11.11,25.24,118.83,658.71,2461.61,4.61,0.00,
Mefcom Capital,531176,,INE186C01023,Capital Markets,Other Capital Market related Services,11.56,52.83,-3.65,-11.55,0.62,0.50,19.87,17.25,,0.97,0.46,67.37,74.43,0.00,0.00
Mega Corp.,531417,,INE804B01023,Finance,Non Banking Financial Company (NBFC),2.72,54.40,6.79,2.61,1.37,68.74,33.19,58.74,66.34,5.32,2.55,102.00,66.83,0.00,14.97
Mehta Integrat.,511377,,INE240B01012,Finance,Non Banking Financial Company (NBFC),29.00,14.50,0.50,0.53,0.05,-124.14,0.00,-44.97,,-0.05,0.03,14.83,57.08,0.00,2.42
Mehta Securities,511738,,INE241B01010,Finance,Other Financial Services,22.10,6.83,0.15,0.00,0.21,21.21,1.10,,113.83,0.07,0.06,7.91,73.63,0.00,1.61
Mena Mani Inds.,531127,,INE148B01033,Finance,Non Banking Financial Company (NBFC),15.63,181.63,1.22,3.54,1.01,6.75,32.81,-14.20,163.63,1.12,0.91,192.68,41.73,0.00,-6.59
Mid East Port.,526251,,INE033E01015,Finance,Other Financial Services,34.75,17.48,22.66,21.18,0.00,-120.00,107.46,142.91,,0.02,0.13,17.44,2.81,0.00,-36.45
Minolta Finance,532164,,INE514C01026,Finance,Non Banking Financial Company (NBFC),1.34,67.00,6.31,-14.26,19.11,68.94,171.14,,,10.20,0.07,244.83,3.59,0.00,0.00
MKVentures Cap.,514238,,INE874A01010,Finance,Investment Company,1032.65,396.89,13.23,9.81,0.00,56.07,-13.25,-13.46,55.12,10.50,14.91,390.75,74.36,0.00,0.00
Modern Shares,509760,,INE370A01019,Finance,Other Financial Services,35.43,10.38,2.62,1.56,0.02,7.49,6.52,3.57,94.36,0.22,0.12,-0.81,72.83,0.00,0.00
Monarch Networth,511551,MONARCH,INE903D01011,Capital Markets,Stockbroking & Allied,376.60,2986.75,27.68,20.49,0.04,69.90,32.08,61.56,16.49,247.89,21.49,2315.31,53.83,5.46,2.28
Money Masters,535910,,INE340O01021,Finance,Non Banking Financial Company (NBFC),0.65,6.52,3.42,2.71,1.14,39.34,-12.71,-9.77,12.07,0.72,0.03,21.77,34.65,77.28,0.00
Moneyboxx Fin.,538446,MONEYBOXX,INE296Q01012,Finance,Non Banking Financial Company (NBFC),56.97,397.70,9.05,0.48,2.28,42.26,66.27,30.00,303.59,85.55,39.31,929.79,46.80,7.16,-7.24
Moongipa Capital,530167,,INE153K01018,Finance,Non Banking Financial Company (NBFC),21.38,19.59,4.97,3.14,0.22,7.64,84.32,35.36,32.11,1.29,0.17,24.82,37.39,0.00,0.01
Morarka Finance,511549,,INE367A01015,Finance,Non Banking Financial Company (NBFC),65.02,29.26,1.58,1.35,0.00,78.88,-27.64,-32.65,17.52,1.98,0.05,29.14,66.77,0.00,0.00
Morgan Ventures,526237,,INE902C01015,Finance,Non Banking Financial Company (NBFC),45.90,45.44,8.96,4.53,2.10,71.75,36.96,-11.44,59.79,22.07,20.12,241.83,74.80,0.00,0.00
MOS Utility,,MOS,INE0N7S01028,Financial Technology (Fintech),Financial Technology (Fintech),9.60,247.14,19.50,18.66,0.67,4.52,81.56,78.97,13.66,30.17,26.98,275.63,55.69,42.12,-8.98
Motil.Oswal.Fin.,532892,MOTILALOFS,INE338I01027,Capital Markets,Stockbroking & Allied,1038.30,62539.22,12.66,15.53,1.65,40.94,30.95,25.93,31.58,4049.07,768.67,70310.87,67.20,0.00,-2.46
MPIL Corporation,500450,,INE844C01027,Finance,Other Financial Services,460.70,26.26,-21.60,-28.22,0.31,-7033.33,,,,-3.17,5.94,29.35,74.78,0.00,0.00
Mrugesh Trading,512065,,INE738D01029,Finance,Non Banking Financial Company (NBFC),104.60,7556.83,-0.49,-0.53,0.03,-12.33,,,,-0.09,0.01,7559.04,0.25,0.00,-74.12
MSL Global,511000,,INE856D01011,Finance,Non Banking Financial Company (NBFC),18.05,38.66,3.51,3.56,0.00,51.35,,,19.43,1.64,3.45,27.95,16.25,0.00,-0.30
Mufin Green,542774,MUFIN,INE08KJ01020,Finance,Non Banking Financial Company (NBFC),138.27,2739.99,10.73,6.69,2.43,77.00,82.71,51.56,71.78,187.18,7.32,3918.78,47.30,0.00,-10.89
Mukesh Babu Fin.,530341,MUKESHB,INE596B01017,Finance,Non Banking Financial Company (NBFC),145.83,101.66,3.33,1.61,0.14,14.47,27.84,2.89,30.70,9.89,3.03,140.46,62.86,0.00,0.00
Multi Comm. Exc.,534091,MCX,INE745G01043,Capital Markets,Exchange and Data Platform,3332.00,84963.28,71.34,56.30,0.00,72.01,-64.48,-55.28,55.11,1957.51,4.17,84937.96,0.00,0.00,0.00
Munoth Capital,511200,,INE910G01027,Capital Markets,Stockbroking & Allied,95.00,87.08,-3.08,-3.11,0.02,-24.00,36.92,9.35,,-0.14,0.02,87.11,73.08,0.00,0.52
Munoth Commun.,511401,,INE410E01015,Finance,Other Financial Services,5.73,5.53,-2.31,-3.44,0.12,-63.64,,16.32,,-0.30,2.76,6.99,30.48,0.00,0.00
Munoth Fin.Serv.,531821,,INE348D01019,Finance,Other Financial Services,57.78,29.67,-7.06,-10.83,0.05,-336.84,-7.02,,,-1.28,3.97,30.15,71.14,0.00,0.00
Muthoot Cap.Serv,511766,MUTHOOTCAP,INE296G01013,Finance,Non Banking Financial Company (NBFC),240.43,395.45,10.26,1.86,4.94,54.66,12.16,-46.03,15.73,352.30,8.19,3186.27,63.33,0.00,0.71
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3091.00,124093.91,15.80,30.92,4.02,82.53,37.91,43.11,10.91,27551.05,737.77,272566.89,73.35,0.00,0.00
Muthoot Microfin,544055,MUTHOOTMF,INE046W01019,Finance,Microfinance Institutions,208.46,3554.08,9.31,6.22,3.40,50.47,18.45,1.37,14.48,1221.20,199.26,12120.56,55.47,0.00,
My Money Sec.,538862,,INE232L01018,Capital Markets,Stockbroking & Allied,35.50,59.64,14.69,14.67,0.01,72.94,-21.96,152.99,8.48,7.48,1.90,55.65,63.82,0.00,0.00
My Mudra Fin.,,MYMUDRA,INE0RVQ01016,Finance,Other Financial Services,71.55,81.51,26.18,20.20,0.17,15.83,29.88,51.22,6.79,17.49,17.85,77.90,57.89,0.00,
N S D L,544467,,INE301O01023,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",813.70,16274.00,23.22,17.36,0.01,25.15,14.40,18.20,41.91,522.83,420.79,15782.76,0.00,0.00,
Naga Dhunseri,,NDGL,INE756C01015,Finance,Non Banking Financial Company (NBFC),2783.00,278.30,0.14,-1.06,0.19,-4.13,248.46,,,2.73,716.59,483.91,73.58,0.00,0.00
Nagreeka Cap.,532895,NAGREEKCAP,INE245I01016,Finance,Investment Company,22.77,28.73,14.46,29.84,3.32,28.27,31.44,30.13,3.89,17.88,1.08,122.28,53.53,0.00,0.00
Nahar Capital,532952,NAHARCAP,INE049I01012,Finance,Investment Company,258.44,432.79,5.03,3.98,0.01,56.88,-5.77,-16.05,3.63,104.23,68.33,441.95,72.53,0.00,0.98
Nalin Lease Fin.,531212,,INE606C01012,Finance,Non Banking Financial Company (NBFC),39.00,25.58,10.96,8.68,0.27,60.38,3.93,1.74,7.61,5.05,1.48,35.14,74.87,0.00,3.83
Nalwa Sons Invst,532256,NSIL,INE023A01030,Finance,Investment Company,5715.50,2937.77,0.48,0.34,0.00,77.18,-8.85,-15.67,53.05,77.63,0.02,2917.32,55.61,0.00,0.00
Nam Securities,538395,,INE792G01011,Finance,Other Financial Services,81.70,44.05,1.75,1.23,0.00,0.50,-17.60,67.11,244.72,0.22,1.93,43.27,75.00,0.00,0.00
Naperol Invest.,500298,,INE585A01020,Finance,Investment Company,706.70,406.14,1.07,1.03,0.00,34.00,141.83,259.71,37.64,11.26,0.07,404.86,70.77,0.00,0.01
NBI Indl. Fin.,,NBIFIN,INE365I01020,Finance,Non Banking Financial Company (NBFC),1988.70,587.63,0.56,0.42,0.00,85.56,25.03,33.11,42.31,18.51,0.00,585.66,74.17,0.00,-0.17
NCL Res. & Finl.,530557,,INE132F01038,Finance,Non Banking Financial Company (NBFC),0.72,113.03,-2.53,-2.34,0.00,-53.58,15.87,,,-3.51,0.10,112.53,0.00,0.00,0.00
NDA Securities,511535,,INE026C01013,Finance,Other Financial Services,25.55,15.20,1.84,-0.65,0.00,-8.40,16.56,,,-0.47,1.07,6.90,58.82,0.00,-12.65
NDL Ventures,500189,NDLVENTURE,INE353A01023,Finance,Other Financial Services,119.70,403.05,2.04,1.53,0.00,,,49.93,537.40,1.02,0.00,397.52,66.20,0.00,1.52
Neil Industries,539016,,INE396C01010,Finance,Non Banking Financial Company (NBFC),6.86,13.41,4.39,2.49,0.09,83.96,9.60,-7.17,8.54,2.91,12.76,18.28,1.88,0.00,0.00
Network People,544396,NPST,INE0FFK01017,Financial Technology (Fintech),Financial Technology (Fintech),1701.10,3549.09,19.67,15.00,0.03,25.11,68.39,84.03,79.47,60.82,55.01,3253.47,60.48,0.00,-7.07
New India Assura,540769,NIACL,INE470Y01017,Insurance,General Insurance,186.34,30708.83,4.29,4.92,,-0.11,6.66,98.65,39.92,663.01,0.00,30708.83,85.44,0.00,0.00
Nexome Cap. Mkt.,508905,,INE641A01013,Finance,Other Financial Services,112.45,120.72,10.40,7.46,0.04,37.38,-3.93,187.82,9.94,17.00,9.55,120.76,51.81,0.00,6.44
Nexus Surgical,538874,,INE370Q01015,Finance,Other Financial Services,21.68,11.86,69.23,51.75,0.00,11.38,71.88,63.28,15.21,1.05,0.02,11.36,18.73,0.00,0.00
Nikki Glob.Fin.,531272,,INE526C01012,Finance,Non Banking Financial Company (NBFC),19.37,6.62,13.05,14.95,0.34,80.30,35.72,118.98,13.51,0.53,0.00,7.12,7.93,0.00,0.12
Nippon Life Ind.,540767,NAM-INDIA,INE298J01013,Capital Markets,Asset Management Company,1194.40,76415.51,43.80,34.48,0.02,66.73,24.59,28.35,46.68,2119.33,916.22,76188.73,71.80,0.00,-1.84
Nisus Finance,544296,,INE0DQN01013,Finance,Holding Company,165.60,395.42,32.00,33.98,0.97,24.73,267.53,189.69,5.81,132.68,87.58,631.84,73.98,32.03,
Niva Bupa Health,544286,NIVABUPA,INE995S01015,Insurance,General Insurance,81.80,15126.73,3.15,3.46,,2.76,32.88,127.48,86.81,241.57,0.00,15126.73,55.30,0.00,
Niyogin Fintech,538772,,INE480D01010,Finance,Non Banking Financial Company (NBFC),55.03,612.19,5.57,-0.12,0.69,2.50,37.85,25.53,,25.82,145.10,693.89,39.50,0.00,-0.10
Northern Arc,544260,NORTHARC,INE850M01015,Finance,Non Banking Financial Company (NBFC),285.75,4619.19,9.74,11.08,3.15,53.28,27.23,20.88,10.51,1522.45,65.44,16380.73,0.00,0.00,
Northlink Fiscal,539110,,INE736P01019,Finance,Non Banking Financial Company (NBFC),31.76,16.67,3.76,2.36,0.24,15.15,7.87,25.99,416.75,0.13,1.87,16.91,57.20,0.00,10.96
NPR Finance,530127,,INE446D01011,Finance,Other Financial Services,19.81,11.87,0.58,0.42,0.01,6.84,-26.59,28.08,45.65,0.37,4.59,11.81,68.02,0.00,0.00
Nuvama Wealth,543988,NUVAMA,INE531F01023,Capital Markets,Stockbroking & Allied,1805.00,33251.39,17.49,27.36,2.80,52.28,27.71,50.60,30.71,2476.34,288.85,22823.79,53.98,62.80,-2.21
Oasis Securities,512489,,INE876A01023,Finance,Non Banking Financial Company (NBFC),14.95,69.14,8.81,7.43,0.00,38.96,20.27,64.22,125.71,1.07,0.19,68.72,71.61,0.00,0.96
Octal Credit Cap,538894,,INE513C01010,Finance,Non Banking Financial Company (NBFC),19.50,9.75,-6.72,-6.76,0.00,-651.35,-30.04,,,-0.78,0.00,9.55,26.63,0.00,-0.20
Odyssey Corpn.,531996,ODYCORP,INE839E01023,Finance,Non Banking Financial Company (NBFC),7.98,71.42,6.57,2.73,0.04,-10.52,-14.08,48.76,10.43,17.85,4.95,71.96,48.24,0.00,4.69
One 97,543396,PAYTM,INE982J01020,Financial Technology (Fintech),Financial Technology (Fintech),1650.90,105844.67,4.96,4.64,0.01,7.03,1.83,33.98,130.45,891.00,906.00,92991.67,0.00,0.00,0.00
One Mobikwik,544305,MOBIKWIK,INE0HLU01028,Financial Technology (Fintech),Financial Technology (Fintech),192.33,1514.54,-2.25,-8.28,0.51,0.83,27.54,13.01,515.15,27.28,23.37,897.36,25.08,0.00,
Onelife Capital,533632,ONELIFECAP,INE912L01015,Capital Markets,Stockbroking & Allied,31.30,116.94,11.41,9.96,0.43,-40.21,20.40,60.85,12.19,14.79,33.78,127.19,26.03,71.00,-26.07
Onemi Technology,544754,KISSHT,INE12F801023,Finance,Other Financial Services,306.30,5429.76,22.59,24.02,1.44,30.15,29.82,116.54,17.14,658.93,49.31,7116.63,24.80,0.00,
Ontic Finserve,540386,,INE989S01042,Finance,Other Financial Services,1.51,13.59,19.26,15.70,0.09,-707.50,23.47,138.11,,-2.68,0.00,13.68,0.00,0.00,0.00
Optimus Finance,531254,OPTIFIN,INE031G01022,Finance,Non Banking Financial Company (NBFC),13.03,97.36,11.62,9.38,0.59,7.18,22.54,8.49,17.17,16.14,17.78,128.49,53.89,0.00,0.00
Oswal Green Tech,539290,OSWALGREEN,INE143A01010,Finance,Investment Company,20.74,532.62,1.75,1.46,0.00,-31.27,-27.59,-2.04,13.73,44.52,120.38,527.46,70.65,0.00,6.32
P. H. Capital,500143,,INE160F01013,Finance,Investment Company,1137.90,341.38,8.47,5.80,0.00,-12.45,13.95,41.97,,-5.12,0.00,311.28,72.70,0.00,0.00
Paisalo Digital,532900,PAISALO,INE420C01059,Finance,Non Banking Financial Company (NBFC),67.56,6144.73,12.38,14.42,2.43,75.90,25.46,35.35,24.39,733.43,84.22,10354.39,46.71,21.91,0.47
Pan India Corpor,511525,,INE376A01032,Finance,Investment Company,1.57,33.64,-6.28,-6.28,0.00,,,11.50,,-0.45,0.00,33.59,45.51,0.00,0.00
Panafic Industri,538860,,INE655P01029,Finance,Non Banking Financial Company (NBFC),2.02,99.54,-17.07,-27.05,0.88,-2.03,2.78,,58.21,1.94,0.01,105.99,16.40,0.00,1.90
Paragon Finance,531255,,INE015E01012,Finance,Non Banking Financial Company (NBFC),55.50,23.59,-3.78,-3.78,0.05,-69.16,-9.68,,27.75,1.37,0.52,23.95,73.94,0.00,1.15
Paras Petrofils,521246,PARASPETRO,INE162C01024,Finance,Investment Company,2.22,74.20,-1.74,-1.89,0.00,,,,,-0.43,1.81,74.17,40.19,0.00,0.89
Pasupati Fincap,511734,,INE527C01010,Finance,Non Banking Financial Company (NBFC),12.09,5.68,,,,40.74,,,47.33,0.24,0.00,6.52,11.55,0.00,0.05
Paul Merchants,539113,PML,INE291E01019,Finance,Other Financial Services,485.15,149.62,-30.85,-31.75,0.01,-0.33,-32.99,,7.29,34.62,135.29,70.24,74.66,0.00,0.00
PB Fintech.,543390,POLICYBZR,INE417T01026,Financial Technology (Fintech),Financial Technology (Fintech),1811.50,83817.18,10.31,9.75,0.05,8.26,38.49,50.00,112.02,833.06,441.17,83417.48,0.00,0.00,0.00
Pilani Invest.,539883,PILANIINVS,INE417C01014,Finance,Investment Company,4387.90,4858.39,1.41,0.20,0.15,87.15,0.52,-49.83,,221.12,3.50,7244.21,58.68,0.00,1.13
Pine Labs,544606,PINELABS,INE15B701018,Financial Technology (Fintech),Financial Technology (Fintech),165.07,19046.74,4.15,2.46,0.07,14.43,19.27,35.68,147.17,258.66,1855.86,11261.47,0.00,0.00,
Pioneer Invest,507864,PIONRINV,INE746D01014,Finance,Other Financial Services,82.45,101.39,10.95,9.71,0.64,35.62,13.06,97.67,7.10,27.91,7.57,206.38,65.91,43.18,1.11
Piramal Finance.,544597,PIRAMALFIN,INE202B01038,Finance,Housing Finance Company,2278.40,51646.25,6.47,0.86,2.84,58.84,21.46,-56.33,115.05,6900.45,2351.81,126067.52,46.16,0.00,
PMC Fincorp,534060,,INE793G01035,Finance,Non Banking Financial Company (NBFC),1.71,121.77,6.07,3.47,0.00,55.60,29.70,43.69,19.09,11.15,0.14,118.80,20.89,0.00,1.55
PNB Gilts,532366,PNBGILTS,INE859A01011,Finance,Investment Company,78.71,1416.86,6.14,11.08,14.56,83.38,11.37,60.30,13.99,1453.91,5.89,25749.03,74.07,0.00,0.00
PNB Housing,540173,PNBHOUSING,INE572E01012,Finance,Housing Finance Company,1169.90,30511.45,9.44,12.91,3.70,94.34,9.41,30.14,12.98,8138.73,273.32,98471.06,28.03,0.00,-0.12
Polytex India,512481,,INE012F01016,Finance,Non Banking Financial Company (NBFC),4.35,5.87,-5.26,-6.24,0.12,,,,,-0.13,0.01,6.11,36.36,0.00,0.00
Poonawalla Fin,524000,POONAWALLA,INE511C01022,Finance,Non Banking Financial Company (NBFC),479.05,42183.98,7.51,5.86,4.68,54.88,46.11,4.73,53.61,4193.66,420.29,90326.10,59.02,0.00,-3.10
Power Fin.Corpn.,532810,PFC,INE134E01011,Finance,Financial Institution,352.00,116163.58,9.71,20.69,7.00,97.40,14.17,17.71,4.46,112399.27,758.03,1108362.22,55.99,0.00,0.00
Premium Capital,511660,,INE555D01019,Finance,Non Banking Financial Company (NBFC),10.02,6.57,34.21,,,0.37,712.56,58.74,,0.03,0.24,9.00,24.25,0.00,-19.01
Prime Capital Ma,535514,,INE748D01010,Finance,Non Banking Financial Company (NBFC),5.77,5.77,-4.73,-8.69,1.32,-5.91,465.03,,,-1.89,0.00,17.45,0.00,0.00,-4.91
Prime Securities,500337,PRIMESECU,INE032B01021,Finance,Other Financial Services,287.85,977.55,8.25,4.09,0.01,10.22,43.17,-1.47,57.30,9.45,11.84,974.37,0.00,0.00,0.00
Prism Finance,531735,,INE429Q01019,Finance,Non Banking Financial Company (NBFC),27.00,17.55,-20.07,-19.21,0.00,-31.55,53.65,0.74,,-2.21,0.51,17.57,45.90,0.00,0.00
Prism Medico,512217,,INE730E01016,Finance,Non Banking Financial Company (NBFC),29.69,40.27,2.82,2.10,0.00,-45.88,23.80,81.71,,-0.27,0.03,40.21,29.98,0.00,4.98
Prithvi Exchange,531688,,INE621B01021,Finance,Other Financial Services,99.04,81.70,8.98,6.45,0.09,0.08,6.93,-10.08,26.53,4.00,3.10,64.49,72.02,0.00,0.07
Prudent Corp.,543527,PRUDENT,INE00F201020,Capital Markets,Financial Products Distributor,3421.30,14166.47,37.48,28.65,0.04,24.22,29.51,23.91,57.81,334.32,257.18,14098.50,55.31,0.00,-3.12
PS IT Infra,505502,,INE953M01033,Finance,Other Financial Services,1.75,9.41,-3.68,-5.03,0.31,-8.72,24.20,,,-0.66,0.00,19.35,1.89,0.00,-0.10
PTC India Fin,533344,PFS,INE560K01014,Finance,Non Banking Financial Company (NBFC),26.95,1730.95,11.82,11.01,0.57,105.40,-13.39,22.25,7.70,497.72,15.66,2457.30,64.99,0.00,0.00
Pun. & Sind Bank,533295,PSB,INE608A01012,Banks,Public Sector Bank,23.14,16419.18,5.95,9.62,11.21,69.80,14.45,0.26,11.86,10215.31,1960.08,174365.68,93.85,0.00,-4.40
Pune e-Stock Broking,544141,,INE510U01018,Capital Markets,Stockbroking & Allied,249.95,438.68,15.06,12.20,0.30,49.51,18.84,29.68,22.43,32.34,8.50,339.18,51.11,0.00,
Punjab Natl.Bank,532461,PNB,INE160A01022,Banks,Public Sector Bank,115.40,132628.57,6.13,12.99,11.79,74.67,14.62,76.45,6.00,116040.67,15573.19,1904745.72,70.08,0.00,-3.07
Purple Finance,544191,,INE0CYK01015,Finance,Non Banking Financial Company (NBFC),73.50,433.19,1.46,-6.33,0.83,22.61,165.04,-1.50,,11.03,31.49,531.32,24.46,0.00,
Purshottam Inves,538647,,INE729C01020,Finance,Non Banking Financial Company (NBFC),35.54,26.38,-0.78,-3.19,0.37,30.74,-25.85,,27.77,3.90,3.26,31.89,0.00,0.00,0.00
Qgo Finance,538646,,INE837C01013,Finance,Non Banking Financial Company (NBFC),40.01,27.82,13.46,17.17,4.89,85.31,16.41,24.18,7.77,16.61,0.55,126.89,55.47,0.00,-7.89
